jobid,name,alpha,beta,M1,M2,P,Z,status,date,computation_time,TimeSteps,age,M1f,M2f,Pf,lg_mdot_M1,lg_mdot_M2,lg_mdot_thermal_tau100,lg_mdot_thermal_tau1000,lg_mdot_dynamical_tau100,lg_mdot_dynamical_tau1000,err_msg,stop_criteria,primary_flag
1392661,BG00001187,0.0,0.0,6.97063023659,5.56104724524,6.74300866968,0.00357207015331,completed,20160606,4.064884166666666,25549.0,99.84411978151275,7.008632996907829,3.7681674905562454,13.324550314020827,-8.15597972454462,-8.15597972454462,-3.489637663497525,-3.5009210326427893,-3.489637663497525,-3.5009210326427893,none,5,5
1392662,BG00001188,0.0,0.0,8.84838144912,14.7834655604,3.1414565515,0.0140811261747,completed,20160606,1.7894116666666668,17316.0,17.38698923387785,8.919517024779823,10.850333149012169,3.1166418469994075,-7.53462861671907,-3.7468148250043862,-4.116342214181097,-4.1180527739421,-4.116342214181097,-4.1180527739421,none,4,3
1392663,BG00001189,0.0,0.0,41.8372086503,4.22356458997,0.860071785481,0.00247403875667,completed,20160606,10.294131111111112,99999.0,187.11200874751356,42.9494023229909,2.6418318045941183,2.939271694203961,-98.99999999999999,-7.586688829758164,-4.275666935006816,-4.277637224946315,-4.275666935006816,-4.277637224946315,none,3,4
1392664,BG00001190,0.0,0.0,16.7481471944,21.9001624215,148.968368506,0.0262015703624,error,20160606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*** JOB 1392664 ON node094 CANCE,0,0
1392665,BG00001191,0.0,0.0,45.4619010932,22.511781021,954.641889972,0.00338418936477,completed,20160606,10.638613333333334,99999.0,9.659618388994037,45.46585782215349,17.59120226866064,1410.471319777915,-98.99999999999999,-5.244845024222649,-5.803223529165602,-5.805879822702309,-5.803223529165602,-5.805879822702309,none,3,4
1392666,BG00001192,0.0,0.0,35.0638531671,7.72810853964,0.180871471461,0.000281029392388,completed,20160606,0.0018702777777777778,1.0,0.0006023056920211297,35.0638531671,7.72810853964,0.18087147146099958,-98.99999999999999,-98.99999999999999,-3.9212400614586143,-3.925366049837329,-3.9212400614586143,-3.925366049837329,none,1,1
1392667,BG00001193,0.0,0.0,45.3169718733,27.5267939735,12.3879898681,0.00715169394996,completed,20160606,1.2649261111111112,5721.0,7.6173555856572595,45.37035736703701,22.574133481605763,16.361364343504377,-6.8824033019864475,-4.151895080274203,-4.382063296084696,-4.385583914859285,-4.382063296084696,-4.385583914859285,none,4,3
1392668,BG00001194,0.0,0.0,21.5158970142,5.82065499013,443.805537715,0.00389547349591,completed,20160606,3.173691111111111,15500.0,91.11432342291809,21.517984035143055,4.06861224009185,1095.6232962970216,-13.97423384624627,-13.97423384624627,-1.4056468260476003,-1.4544969064178355,-1.4056468260476003,-1.4544969064178355,none,5,5
1392669,BG00001195,0.0,0.0,12.7116360885,19.9931926238,0.128991289324,0.0122297818778,completed,20160606,0.0009430555555555556,1.0,5.5949295772907376e-05,12.7116360885,19.9931926238,0.12899128932399886,-98.99999999999999,-98.99999999999999,-3.460281303811147,-3.4550174785705074,-3.460281303811147,-3.4550174785705074,none,1,1
1392670,BG00001196,0.0,0.0,36.1866843833,21.7477722573,129.348033169,0.000812695308421,completed,20160606,0.06914361111111111,548.0,9.684854244430108,36.18685595385871,21.40791584548913,133.27168154427466,-7.030511969309864,-3.2501038900169323,-3.098125537509443,-3.1022399418672832,-3.098125537509443,-3.1022399418672832,none,4,3
1392671,BG00001197,0.0,0.0,43.9619399762,14.0352538386,0.120337699223,0.00266252126282,completed,20160606,0.0013408333333333334,1.0,0.00013550312808633178,43.9619399762,14.0352538386,0.1203376992229993,-98.99999999999999,-98.99999999999999,-3.556902781981032,-3.55810951863339,-3.556902781981032,-3.55810951863339,none,1,1
1392672,BG00001198,0.0,0.0,8.36564204936,5.57514836743,4.94039413888,0.000186208327734,completed,20160606,1.3742755555555557,5775.0,89.73688329398281,8.384608278326409,3.8951428112424598,10.200029259500717,-7.547343237868377,-4.9604052654605075,-4.301520686791621,-4.321287419987535,-4.301520686791621,-4.321287419987535,none,4,3
1392673,BG00001199,0.0,0.0,29.822832203,23.0226205036,21.726251047,0.00987063038867,completed,20160606,0.7479513888888888,4129.0,9.317434104962746,29.843700956654892,18.505785122261198,28.945509986465023,-7.067825772513411,-4.079629653062587,-4.361898349020583,-4.363693809567152,-4.361898349020583,-4.363693809567152,none,4,3
